Astrobee Movement Tracking Data
Time: 0.37, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.06, 0.03)
Time: 0.37, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.06, 0.03)
Time: 0.37, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.07, 0.03)
Time: 0.37, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.08, 0.03)
Time: 0.37, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.09, 0.03)
Time: 0.37, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.09, 0.03)
Time: 0.37, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.10, 0.03)
Time: 0.38, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.11, 0.03)
Time: 0.38, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.11, 0.03)
Time: 0.38, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.12, 0.03)
Time: 0.38, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.13, 0.03)
Time: 0.38, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.13, 0.03)
Time: 0.38, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.14, 0.03)
Time: 0.38, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.15, 0.03)
Time: 0.39, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.15, 0.03)
Time: 0.39, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.16, 0.03)
Time: 0.39, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.17, 0.03)
Time: 0.39, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.18, 0.03)
Time: 0.39, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.18, 0.03)
Time: 0.39, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.19, 0.03)
Time: 0.40, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.20, 0.03)
Time: 0.40, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.21, 0.03)
Time: 0.40, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.21, 0.03)
Time: 0.40, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.22, 0.03)
Time: 0.40, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.22, 0.03)
Time: 0.40, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.23, 0.03)
Time: 0.40, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.24, 0.03)
Time: 0.41, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.25, 0.03)
Time: 0.41, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.26, 0.03)
Time: 0.41, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.26, 0.03)
Time: 0.41, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.27, 0.03)
Time: 0.41, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.28, 0.03)
Time: 0.41, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.29, 0.03)
Time: 0.42, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.29, 0.03)
Time: 0.42, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.30, 0.03)
Time: 0.42, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.31, 0.03)
Time: 0.42, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.32, 0.03)
Time: 0.42, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.32, 0.03)
Time: 0.42, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.32, 0.03)
Time: 0.43, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.33, 0.03)
Time: 0.43, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.35, 0.03)
Time: 0.43, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.35, 0.03)
Time: 0.43, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.36, 0.03)
Time: 0.43, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.37, 0.03)
Time: 0.43, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.38, 0.03)
Time: 0.44, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.39, 0.03)
Time: 0.44, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.40, 0.03)
Time: 0.44, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.40, 0.03)
Time: 0.45, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.42, 0.03)
Time: 0.45, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.43, 0.03)
Time: 0.45, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.44, 0.03)
Time: 0.45, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.45, 0.03)
Time: 0.45, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.46, 0.03)
Time: 0.45, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.46, 0.03)
Time: 0.46, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.47, 0.03)
Time: 0.46, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.48, 0.03)
Time: 0.46, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.49, 0.03)
Time: 0.46, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.49, 0.03)
Time: 0.46, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.50, 0.03)
Time: 0.46, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.51, 0.03)
Time: 0.47, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.51, 0.03)
Time: 0.47, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.52, 0.03)
Time: 0.47, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.53, 0.03)
Time: 0.47, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.54, 0.03)
Time: 0.47, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.54, 0.03)
Time: 0.47, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.55, 0.03)
Time: 0.47, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.56, 0.03)
Time: 0.48, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.56, 0.03)
Time: 0.48, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.57, 0.03)
Time: 0.48, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.58, 0.03)
Time: 0.48, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.59, 0.03)
Time: 0.48, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.59, 0.03)
Time: 0.48, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.59, 0.03)
Time: 0.48, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.60, 0.03)
Time: 0.49, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.61, 0.03)
Time: 0.49, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.62, 0.03)
Time: 0.49, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.63, 0.03)
Time: 0.49, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.64, 0.03)
Time: 0.49, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.65, 0.03)
Time: 0.50, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.66, 0.03)
Time: 0.50, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.67, 0.03)
Time: 0.50, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.68, 0.03)
Time: 0.50, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.68, 0.03)
Time: 0.50, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.68, 0.03)
Time: 0.50, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.69, 0.03)
Time: 0.51, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.70, 0.03)
Time: 0.51, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.71, 0.03)
Time: 0.51, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.72, 0.03)
Time: 0.51, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.72, 0.03)
Time: 0.51, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.73, 0.03)
Time: 0.51, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.74, 0.03)
Time: 0.52, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.75, 0.03)
Time: 0.52, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.75, 0.03)
Time: 0.52, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.76, 0.03)
Time: 0.52, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.77, 0.03)
Time: 0.52, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.77, 0.03)
Time: 0.52, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.78, 0.03)
Time: 0.53, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.79, 0.03)
Time: 0.53, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.80, 0.03)
Time: 0.53, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.80, 0.03)
Time: 0.53, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.81, 0.03)
Time: 0.53, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.82, 0.03)
Time: 0.53, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.83, 0.03)
Time: 0.53, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.83, 0.03)
Time: 0.54, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.84, 0.03)
Time: 0.54, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.85, 0.03)
Time: 0.54, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.85, 0.03)
Time: 0.54, Position: (0.73, 4.92, 4.56), Rotation: (359.95, 300.86, 0.03)
Time: 0.54, Position: (0.73, 4.92, 4.56), Rotation: (359.94, 300.86, 0.03)
